"weight";"word";"color";"url"
"3";"Agile";"";""
"3";"Clean Code";"";""
"3";"CSS";"";""
"3";"DDD";"";""
"3";"html";"";""
"3";"Softwarearchitekur";"";"/leistungen/softwarearchitektur"
"3";"Softwareentwicklung";"";""
"2";"AWS";"";""
"2";"Cucumber";"";""
"2";"Deno";"";""
"2";"EC2";"";""
"2";"ECS";"";""
"2";"Elastic";"";""
"2";"Express";"";""
"2";"Figma";"";""
"2";"Gewaltfrei";"";""
"2";"LXC";"";""
"2";"Terraform";"";""
"2";"VS Code";"";""
"1";"Android";"";""
"1";"Angular";"";""
"1";"axum";"";""
"1";"Caddy";"";""
"1";"Cloudformation";"";""
"1";"Confluence";"";""
"1";"Debian";"";""
"1";"Docker";"";""
"1";"Dropwizard";"";""
"1";"ETS";"";""
"1";"expressjs";"";""
"1";"gherkin";"";""
"1";"git";"";""
"1";"Github Actions";"";""
"1";"gitlab";"";""
"1";"groovy";"";""
"1";"Hibernate";"";""
"1";"http";"";""
"1";"http2";"";""
"1";"inkscape";"";""
"1";"intellij";"";""
"1";"java";"";""
"1";"jax-rs";"";""
"1";"jest";"";""
"1";"jira";"";""
"1";"jni";"";""
"1";"jpa";"";""
"1";"jsf";"";""
"1";"json";"";""
"1";"json-api";"";""
"1";"junit";"";""
"1";"kafka";"";""
"1";"knx";"";""
"1";"kommunikation";"";""
"1";"kotlin";"";""
"1";"macos";"";""
"1";"magnolia";"";""
"1";"Magnolia CMS";"";""
"1";"mockito";"";""
"1";"mongodb";"";""
"1";"mongoose";"";""
"1";"mysql";"";""
"1";"nest.js";"";""
"1";"nginx";"";""
"1";"node.js";"";""
"1";"openapi";"";""
"1";"parcel";"";""
"1";"postgresql";"";""
"1";"quarkus";"";""
"1";"redpanda";"";""
"1";"resteasy";"";""
"1";"rocket";"";""
"1";"rust";"";""
"1";"schema";"";""
"1";"scrum";"";""
"1";"scss";"";""
"1";"selenium";"";""
"1";"sketch";"";""
"1";"soapui";"";""
"1";"spring";"";""
"1";"sublime";"";""
"1";"svelte";"";""
"1";"swagger";"";""
"1";"tomcat";"";""
"1";"transaktionsanalyse";"";""
"1";"typescript";"";""
"1";"ubuntu";"";""
"1";"vaadin";"";""
"1";"vue.js";"";""
"1";"webpack";"";""
"1";"wss";"";""
"1";"xml";"";""
"1";"xsd";"";""
"1";"xslt";"";""
